class,cap-shape,cap-surface,cap-color,ruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,k,y,g,t,,f,w,n,u,t,?,s,s,,p,p,w,o,p,o,,d
e,s,s,,t,n,f,c,n,k,e,?,y,s,o,o,p,w,o,p,w,s,m
e,x,g,n,f,n,f,w,b,p,e,r,s,y,c,n,p,w,o,e,w,y,g
e,s,,n,t,n,,c,b,g,,,s,s,,w,p,w,,p,n,y,d
e,x,y,g,,n,f,w,b,n,t,b,s,s,w,c,p,o,o,l,,v,w
p,k,y,g,,f,a,,b,p,e,b,s,k,p,,p,w,o,l,h,c,p
e,b,f,y,t,l,f,,b,u,t,b,f,f,p,w,p,w,o,p,,,
p,x,s,,f,l,f,c,n,w,e,b,s,k,g,w,,w,o,,,,d
e,b,y,b,f,n,f,,b,p,,b,s,s,o,p,p,w,o,p,w,,d
p,,y,u,f,y,f,c,b,,t,r,s,s,,n,p,,o,l,h,s,g
e,x,y,e,,,,c,n,u,t,,s,s,p,w,p,w,,n,h,a,g
p,x,,w,f,y,f,,n,w,,b,k,y,p,b,p,w,o,p,n,v,
e,c,,g,t,n,f,c,b,w,e,,,s,w,y,p,,o,e,w,y,w
e,x,y,w,t,n,f,c,b,k,t,b,s,s,w,o,p,w,o,p,o,s,p
e,x,y,b,f,n,f,w,b,p,,?,f,s,w,p,p,w,o,e,h,y,d
p,,y,c,f,f,f,c,b,,t,b,f,s,w,,p,,,f,b,v,d
p,x,f,w,f,f,f,c,n,b,e,e,y,,w,p,p,,n,e,,v,m
e,x,,n,f,y,f,c,b,e,e,b,s,y,w,w,,w,,e,k,a,w
e,k,f,w,f,n,f,c,b,p,e,?,k,s,w,,p,w,t,p,w,n,m
p,b,f,y,t,f,f,c,,p,t,c,s,,w,y,p,y,t,n,h,c,
e,b,y,b,t,n,f,w,b,w,t,,s,,y,y,p,w,t,p,,,d
e,f,y,g,f,a,f,c,b,,t,b,s,s,,w,p,y,o,,y,v,w
e,k,f,g,t,,f,c,,k,,b,s,k,o,,p,w,o,l,w,y,
p,k,f,e,,p,f,c,n,n,,b,s,f,y,e,p,w,o,e,k,v,d
p,k,s,e,f,f,f,c,b,,t,,y,s,w,w,p,w,o,p,w,y,g
p,b,s,u,,l,f,w,n,r,t,b,k,y,g,b,p,w,o,e,,s,
p,,f,y,t,f,a,c,b,g,e,b,k,k,p,p,p,w,o,l,h,a,g
e,b,y,g,t,l,f,w,b,n,,e,y,,w,p,p,w,o,p,h,y,d
p,b,y,e,t,f,f,w,b,n,e,?,k,,g,y,p,y,o,l,r,s,w
e,f,y,g,,n,f,c,b,n,t,b,k,f,e,e,p,o,o,p,u,,d
e,x,y,n,t,s,f,c,b,o,t,c,s,y,,,p,w,o,p,n,y,d
p,f,y,e,t,f,f,c,n,u,t,?,k,,p,,p,w,o,e,k,,l
p,,f,b,f,n,,c,n,b,t,r,s,k,o,,p,o,t,p,,y,
e,x,f,n,t,n,f,w,n,b,t,c,,s,w,o,p,w,n,,n,n,m
e,x,s,,,n,f,c,n,g,e,e,,y,w,p,p,,o,p,n,y,g
e,x,s,e,t,c,f,c,b,u,t,e,k,s,y,p,p,w,t,l,k,s,l
e,x,y,y,t,f,f,c,b,,e,b,s,k,w,o,p,,,p,,v,
p,f,,w,t,f,f,c,b,w,t,e,,s,w,e,p,n,t,p,,s,m
p,x,y,e,t,c,f,w,b,b,t,c,f,k,b,w,p,o,o,p,w,y,w
e,f,s,u,t,a,f,,b,b,t,c,y,s,w,n,p,w,t,f,h,s,l
p,x,s,,f,f,f,w,n,n,,b,f,s,w,p,p,w,o,l,n,c,w
e,,s,u,f,a,f,,b,w,t,?,s,s,w,w,p,,n,p,n,n,l
p,x,y,n,f,f,f,,b,n,e,?,,k,p,y,p,,,p,w,,l
e,f,g,g,f,,f,w,,e,t,?,s,y,g,g,p,w,o,p,k,s,d
e,x,f,n,t,n,f,c,b,,t,r,k,s,n,c,p,w,t,l,,s,w
p,,s,g,f,p,f,,b,u,,,y,k,g,w,p,y,o,,u,c,l
p,x,g,g,,f,f,c,b,o,e,?,k,k,w,w,p,,o,n,n,,g
e,x,f,y,f,f,f,c,,u,e,e,s,s,p,b,p,w,o,e,,v,g
e,,,y,f,p,f,c,b,e,t,e,s,s,o,p,p,w,o,p,,v,
p,x,y,n,f,f,a,c,b,h,e,r,k,k,n,p,p,w,o,,n,,l
p,k,s,n,t,f,f,w,n,b,,,s,,n,n,p,n,o,p,o,,u
e,x,f,,,n,f,,b,u,t,b,s,s,w,o,p,w,o,p,,v,d
e,k,,g,t,n,f,w,n,k,e,b,s,,w,b,p,n,,,w,n,d
p,x,s,e,f,f,f,c,b,e,t,?,k,,o,w,p,w,,p,w,,p
p,f,f,r,f,m,f,w,,b,t,?,k,s,p,n,p,w,o,n,w,v,g
p,f,g,y,f,,,,b,w,e,e,s,f,w,c,p,,t,p,k,v,g
e,b,,g,t,n,f,c,b,u,e,e,,s,w,c,p,o,o,p,w,v,d
p,,,g,f,f,f,c,n,n,t,,k,,w,w,p,w,o,p,k,,g
e,b,,g,t,p,,c,b,,t,e,s,s,w,y,p,w,o,e,k,a,l
e,f,y,e,,n,,c,b,h,e,b,y,s,w,n,p,n,t,e,k,y,g
e,x,s,n,t,c,f,w,,p,t,,s,s,p,p,p,w,n,e,n,n,d
e,f,,,f,n,f,c,b,,e,b,k,k,e,b,p,w,o,p,k,c,g
p,f,y,w,,p,f,,b,b,e,c,f,k,w,w,p,y,o,e,n,a,w
p,b,f,g,f,f,f,w,b,,t,b,k,s,,g,p,w,n,l,y,y,u
e,k,s,w,f,l,a,w,b,u,e,,s,,o,p,p,w,n,p,,v,
e,f,f,g,t,,f,c,n,w,t,b,s,k,e,p,p,w,o,l,h,,
e,c,y,n,t,s,f,w,b,b,e,b,f,s,w,n,p,w,o,l,w,y,d
p,k,f,b,t,s,f,w,b,g,t,?,k,s,,,p,y,o,p,h,y,l
p,k,g,e,f,l,a,c,n,r,,c,y,s,y,c,p,o,,e,w,y,u
e,x,f,g,t,n,f,c,,w,e,c,s,k,w,p,p,w,o,e,k,y,l
e,b,s,c,f,s,f,w,b,p,e,?,k,y,,o,p,y,o,p,n,v,d
p,x,y,n,,y,f,c,n,b,t,?,k,s,p,w,p,w,,e,w,,p
e,x,y,n,f,n,a,,,n,e,,k,s,o,n,,w,o,l,w,y,p
p,f,s,w,,s,f,c,b,n,t,b,f,s,,p,p,w,o,l,h,s,p
e,x,f,n,f,,f,w,b,y,t,,s,k,w,b,p,y,t,e,h,n,p
p,k,f,n,,f,,w,n,u,t,,s,s,w,p,p,w,o,f,r,y,p
e,x,f,g,t,f,f,c,n,,,b,f,k,n,w,p,n,t,f,h,v,
p,b,f,y,f,f,f,c,n,,e,e,s,s,g,p,p,w,o,l,b,y,w
p,,,w,f,l,f,c,b,r,e,b,s,f,o,g,p,w,o,e,r,v,g
e,k,f,g,f,f,a,w,n,p,e,e,s,k,p,w,p,w,t,n,n,a,g
e,,y,c,f,,f,c,n,u,t,r,,,w,p,,o,o,e,w,v,l
p,x,s,b,,s,f,w,,p,t,b,k,f,w,e,,w,o,p,k,n,d
e,x,y,,t,s,f,c,b,,t,c,s,s,w,p,p,w,o,p,,s,d
e,x,f,c,f,n,f,w,,b,t,e,k,k,c,n,p,o,o,p,n,a,p
p,x,f,p,t,n,f,c,n,u,e,?,k,f,p,w,p,w,o,e,w,s,m
e,x,g,e,,n,f,w,n,w,t,?,s,,c,y,p,n,n,e,r,v,l
e,x,y,w,t,l,a,c,b,w,,,f,s,w,w,p,y,o,e,k,s,m
p,x,y,,f,f,f,w,n,u,e,b,y,,,w,p,n,o,p,y,v,w
e,s,f,u,f,n,f,c,,y,t,r,s,s,w,w,p,,o,,y,a,p
e,x,s,n,t,,a,w,n,e,,,y,s,b,n,p,w,o,p,h,y,p
p,b,y,y,f,,f,w,,g,e,,s,f,g,w,p,w,o,e,r,a,u
e,b,y,,f,a,f,c,n,y,e,b,f,,b,w,p,o,o,p,y,v,d
e,f,s,e,,n,f,c,b,h,e,?,y,k,o,p,p,n,o,p,k,v,g
e,f,s,n,,a,a,w,n,k,e,b,y,,b,w,p,w,,,r,s,w
e,x,,y,f,n,,w,,g,,c,,k,p,,p,w,o,e,o,s,d
p,k,s,n,f,f,a,c,b,w,e,,s,,w,o,p,w,o,l,o,,m
e,f,y,g,t,n,,c,n,,t,,s,,c,y,p,w,o,,y,v,d
e,f,,g,t,l,f,c,b,w,e,e,k,f,w,e,p,w,o,p,n,s,w
p,x,,n,f,,f,,b,n,t,b,f,k,w,,,w,,p,w,y,m
e,k,s,c,f,n,a,c,,,e,?,s,f,,o,p,o,o,p,w,v,l
e,x,y,y,t,y,f,,b,y,,b,s,y,p,,,n,o,,w,n,g
e,s,y,c,t,s,f,c,,,e,b,f,,w,n,,w,o,e,w,v,m
e,c,s,e,f,c,f,,b,u,t,?,,s,w,w,p,w,o,p,n,v,
p,s,f,b,f,f,f,c,n,u,e,b,s,s,p,n,p,w,o,p,n,v,d
e,k,f,,f,c,a,c,n,w,e,r,,,p,w,,w,o,p,w,s,d
e,f,s,n,f,n,f,c,,p,e,b,s,s,n,b,,,o,l,h,n,w
p,f,,n,t,s,a,w,n,o,e,,k,s,n,e,p,w,o,p,w,v,p
p,,s,e,t,p,f,c,b,o,t,b,f,s,b,,p,w,o,,h,,
e,x,f,r,t,n,f,w,b,n,e,?,y,s,p,w,p,w,n,p,y,y,
p,k,s,n,t,f,f,c,b,p,e,b,s,,y,c,,w,,p,n,v,d
e,,y,n,t,s,f,,b,u,e,b,s,,b,w,p,w,o,e,w,s,d
e,x,y,e,t,n,f,w,n,k,t,b,f,s,g,n,p,y,o,n,n,a,w
e,,s,e,f,,f,,b,p,e,b,k,s,,y,p,,o,e,r,y,g
e,x,y,e,f,l,f,,n,y,e,?,s,s,n,n,p,w,,f,k,c,g
e,x,y,w,t,,f,c,b,w,t,,s,k,y,,p,w,o,,n,v,l
p,f,f,g,f,l,f,w,,h,e,b,,,p,,p,n,,p,k,y,w
p,b,y,u,t,y,f,c,n,r,e,?,s,y,,w,p,,o,e,b,s,g
p,f,s,p,f,a,a,c,n,w,e,?,s,s,n,b,p,w,o,p,h,s,d
p,c,s,n,f,f,f,,n,,e,e,,s,p,o,p,w,o,p,n,y,w
e,,y,,t,s,f,w,n,p,e,b,f,y,w,p,,y,o,l,w,y,d
e,f,,w,t,y,f,w,n,u,t,,s,y,,g,p,,o,,,v,d
e,s,y,n,f,n,f,c,,w,t,e,s,s,w,w,p,w,t,e,n,y,g
p,x,y,,f,f,f,c,,h,t,b,s,s,,w,p,w,o,p,w,s,
p,x,g,y,f,n,f,c,n,,e,r,k,k,w,,,w,o,p,n,,w
e,f,s,n,f,,a,w,n,,t,,y,,w,w,,y,o,e,n,a,
e,x,y,,t,n,f,c,n,w,e,b,,k,w,e,p,w,o,p,n,y,d
p,b,f,n,f,,f,c,n,b,t,?,s,s,w,,p,n,o,p,k,v,l
e,s,y,b,f,n,a,w,n,b,e,b,s,,g,o,p,w,,p,n,y,g
p,x,y,g,,c,f,c,n,p,,b,s,f,g,p,p,w,o,e,h,v,w
e,f,f,e,f,n,f,,,p,e,?,k,s,w,o,p,o,o,p,,a,l
e,b,s,w,t,n,a,w,b,h,t,b,k,,p,e,,w,o,p,w,v,m
p,b,f,r,f,f,f,c,n,,e,?,,s,p,p,p,w,t,n,n,y,g
e,x,s,n,t,p,f,w,b,n,e,e,s,s,,n,p,w,o,p,h,a,d
e,x,y,g,t,n,f,c,b,n,e,?,k,,o,b,,o,,p,n,s,g
e,f,s,w,f,n,f,w,b,n,e,e,f,s,,,p,w,o,e,n,s,
e,b,s,w,f,y,f,w,n,w,e,?,s,,c,e,p,n,o,n,y,n,p
e,,,,f,y,a,,n,,t,c,f,s,o,w,p,,t,p,u,v,g
p,,f,n,t,m,a,c,b,u,e,b,s,s,n,,p,n,,e,h,n,l
e,f,y,n,f,n,f,c,b,p,e,,s,k,g,w,p,o,o,p,n,s,p
p,c,y,n,f,f,f,w,,n,t,?,,k,w,w,p,,o,p,h,n,p
e,f,y,n,f,c,f,c,b,w,t,e,k,s,w,e,p,o,,l,w,y,p
e,f,y,g,f,n,,c,b,u,t,b,,s,w,n,p,w,o,e,k,a,w
p,f,f,n,t,f,f,c,b,,t,?,k,s,g,,p,n,o,p,n,s,d
p,,y,,,,,c,b,g,t,?,s,s,c,w,,y,o,,w,v,d
p,x,g,n,f,f,f,c,b,b,t,?,k,s,w,p,p,w,,,k,a,u
p,x,y,,f,,f,c,b,o,t,?,s,s,e,w,p,w,o,p,w,v,l
e,s,f,g,f,n,f,c,b,u,e,e,f,,w,p,p,w,n,e,w,v,u
p,b,s,n,f,f,f,c,n,p,e,c,k,s,b,,p,w,o,e,w,y,l
p,x,g,w,,l,a,c,b,n,e,?,y,s,w,e,p,w,o,p,w,v,l
e,,s,g,f,m,,w,n,h,,?,s,y,w,w,p,w,n,,u,y,d
p,f,f,g,f,,f,c,n,,t,e,k,k,p,n,p,w,,e,n,a,d
p,x,y,u,f,a,,c,b,b,,r,k,s,g,o,p,,o,l,n,a,u
p,x,f,b,f,c,f,c,n,g,e,c,f,s,,o,p,w,,,k,a,d
p,s,f,u,f,f,f,c,,w,t,b,s,s,e,w,,o,o,e,b,s,w
p,c,f,y,f,f,f,c,b,g,t,b,y,k,b,b,p,w,o,f,h,y,d
e,,s,w,,s,a,c,n,b,e,b,s,y,w,w,p,o,o,n,r,,m
e,f,s,y,t,f,a,c,b,u,e,b,f,s,o,,p,w,o,f,,c,
e,b,s,,t,n,f,w,n,h,,?,k,s,o,p,p,n,n,e,h,n,d
e,x,s,,,n,f,c,,r,e,?,f,k,o,o,p,w,o,p,n,c,d
p,x,y,w,t,y,f,c,b,h,e,r,k,y,p,w,p,w,n,p,n,s,d
p,f,y,p,t,,f,w,b,n,t,e,s,s,p,n,p,y,o,,w,c,m
p,k,y,n,t,f,f,c,n,w,e,b,s,,b,,p,,o,p,y,s,
p,x,f,y,t,,f,,n,w,t,b,k,s,e,,,w,o,e,w,y,g
p,,,y,f,f,f,c,b,u,t,,f,k,p,w,p,w,o,l,,,w
p,,y,w,t,n,f,c,n,b,e,b,y,s,n,n,,w,,e,n,,d
p,k,s,g,,l,,c,,w,,b,k,s,y,g,p,w,o,p,b,a,w
e,x,s,,t,y,,c,n,w,t,b,s,y,w,c,p,w,o,l,n,a,g
p,x,s,n,f,c,f,c,n,h,e,b,s,s,c,n,p,w,o,e,h,v,g
p,k,y,y,,l,f,c,,n,t,?,f,y,w,,p,w,o,l,w,v,w
e,x,f,n,,,f,w,,n,t,b,s,,,w,p,w,o,p,h,n,
e,k,g,g,f,,f,w,b,w,e,,s,s,w,w,p,w,o,n,n,a,g
e,f,,,t,p,f,c,,w,e,?,f,s,,e,,w,t,n,w,c,m
e,f,y,n,f,n,f,w,b,g,e,r,k,s,p,w,p,w,t,l,r,y,m
e,x,f,n,t,a,f,,b,y,t,r,k,y,w,w,p,w,n,p,y,,
e,k,,e,t,,f,,b,n,,b,s,f,c,p,p,w,n,p,h,c,p
e,x,y,w,f,n,f,w,b,b,,b,s,f,y,w,p,w,o,p,k,y,
e,f,y,b,f,,f,w,n,n,,,k,s,c,p,p,w,o,p,k,,d
p,k,,g,f,a,f,,,g,,?,k,s,p,e,p,w,o,p,k,n,u
p,f,s,r,t,y,f,c,b,p,t,,f,s,p,w,p,,n,e,w,v,p
e,k,f,g,t,n,f,c,n,n,e,,s,s,p,w,p,w,o,e,u,a,u
e,,g,n,f,y,,c,,p,t,,k,k,o,g,p,n,o,f,w,,d
e,x,f,e,f,n,f,,n,,,,s,y,w,,p,w,o,p,,y,g
p,k,f,u,,s,f,c,n,h,e,r,k,,w,w,,,o,l,,,p
e,,y,g,f,n,f,c,,p,e,?,k,,p,p,p,w,t,e,,y,w
e,b,y,p,,a,f,c,n,k,,,s,y,c,w,p,w,n,,n,,p
e,x,y,n,,f,,w,n,o,t,c,k,s,w,w,p,n,n,p,,v,p
e,b,y,n,f,a,f,c,b,w,t,?,y,s,w,b,p,w,o,e,n,y,g
e,b,,,f,l,f,,n,u,t,?,y,k,y,p,p,w,o,e,n,v,l
p,x,s,,t,f,f,c,n,p,e,b,f,s,w,w,p,,o,p,h,s,g
p,k,f,e,t,c,f,c,,u,t,?,k,k,w,p,p,n,o,e,n,,g
p,x,s,,f,f,f,,,n,e,e,,f,w,w,p,w,t,l,n,v,d
p,x,y,u,t,f,f,c,b,h,e,,k,y,y,w,p,w,o,f,k,y,d
e,f,g,n,f,y,f,c,b,h,t,b,,,p,w,p,y,o,p,n,s,d
e,,,r,f,n,f,w,,w,e,,f,y,y,o,p,w,n,,u,v,u
e,f,,n,f,p,f,w,b,p,,b,k,k,w,c,p,w,o,p,,y,d
e,x,,n,f,n,a,c,,o,,b,k,,g,o,,w,t,p,w,s,d
p,x,g,,f,l,f,c,n,,t,b,y,k,p,w,p,w,,e,w,v,l
e,f,y,,t,m,f,c,b,w,t,b,s,f,o,y,p,n,o,n,h,v,u
e,f,s,w,f,f,f,w,b,p,e,e,s,s,y,n,p,w,o,f,u,y,d
e,f,f,g,,n,f,c,n,y,t,?,s,f,,g,p,w,o,e,y,,u
p,s,,,f,,f,c,n,,,b,s,s,g,,p,n,t,p,w,v,g
p,,,g,,f,f,c,b,p,t,?,s,s,p,p,p,w,o,n,n,,d
e,s,f,g,f,n,f,,n,b,t,?,k,s,p,w,p,,t,p,w,n,u
e,x,f,,f,f,f,c,b,u,t,b,,k,o,o,p,w,n,n,k,v,
e,,f,g,t,l,f,c,b,h,,?,s,,p,p,p,w,o,p,n,y,g
p,x,s,n,,c,f,w,n,k,t,b,,s,p,w,p,y,o,p,k,n,d
p,c,,c,t,f,f,c,n,h,t,b,s,,,w,,w,o,e,w,v,g
p,k,y,e,f,a,f,c,,,t,?,,k,p,p,p,w,o,e,w,n,d
p,f,y,n,f,,a,,b,b,t,?,s,,n,w,p,w,t,l,n,n,w
e,c,y,y,,,a,,b,h,,e,s,s,w,p,p,w,t,e,h,v,l
e,,s,n,t,n,f,c,b,p,e,e,f,s,c,o,p,w,o,l,y,v,g
p,,y,g,f,a,f,w,n,y,e,r,,s,w,g,,y,o,p,w,,d
e,x,g,w,f,n,a,c,n,,,?,s,k,p,g,p,w,t,e,k,y,d
p,x,f,,t,s,a,w,n,w,e,,s,y,w,y,p,w,o,p,n,,
e,x,y,e,f,n,,c,b,y,t,?,s,,e,e,,w,,n,w,v,u
e,b,g,e,,p,f,c,,h,e,,s,y,w,b,p,w,t,e,u,y,g
e,x,y,e,f,n,f,c,b,b,t,r,y,s,,p,p,w,o,,r,,d
e,,y,,t,f,f,w,,b,t,r,s,f,w,,p,w,t,e,n,v,
e,x,s,b,t,n,a,c,n,k,e,?,f,s,,n,p,w,,l,n,c,
e,,f,e,f,n,f,c,b,u,e,?,,f,w,p,p,w,n,p,r,v,p
e,b,f,b,f,a,a,w,,p,e,b,f,y,w,w,p,w,o,e,k,,u
e,,s,c,,y,f,w,b,w,,c,s,f,w,,p,w,t,e,n,s,d
e,k,s,w,f,a,f,w,b,g,t,?,s,f,e,w,p,,t,e,n,n,
p,f,s,n,t,s,f,w,n,u,t,b,k,y,p,p,p,,o,l,w,,p
p,f,y,,t,s,f,c,b,b,e,e,s,s,p,p,,w,t,p,w,v,d
p,f,f,c,f,f,f,w,n,b,t,,f,f,g,,p,w,o,l,k,v,w
e,f,f,g,f,a,a,c,b,h,e,b,k,,,w,p,y,t,p,h,s,d
p,k,s,b,t,f,f,w,,w,e,,s,s,w,o,p,w,t,p,h,s,g
e,s,y,n,f,,f,c,b,y,,b,s,,,g,p,,t,e,,y,l
e,x,g,e,,n,,c,n,b,t,b,s,k,w,w,p,y,t,e,k,a,m
e,b,s,,,n,,c,n,,t,b,s,s,c,b,p,,o,e,k,v,d
p,k,s,,t,s,f,c,b,b,t,?,s,s,n,e,p,o,o,l,n,v,g
p,x,y,n,t,l,,c,n,o,,b,s,y,n,g,p,w,o,p,k,a,g
p,f,y,n,f,f,f,,,n,t,?,s,,w,w,p,w,o,l,w,v,d
e,x,y,w,f,y,f,c,b,b,e,?,s,y,w,p,p,o,o,l,k,,d
p,x,,w,f,f,f,c,b,n,t,e,s,k,w,n,p,o,t,e,w,c,g
e,s,f,r,t,,f,w,,n,e,e,s,s,w,w,p,n,t,p,k,c,p
e,f,y,p,t,y,f,c,b,n,t,b,s,k,w,w,p,w,o,,h,a,p
e,x,f,r,t,n,f,c,b,u,t,c,s,k,w,w,p,n,o,p,w,v,
e,x,s,u,,p,f,,n,p,t,b,k,k,w,o,p,y,o,p,k,,u
p,x,s,e,f,n,f,w,n,u,e,?,y,s,p,w,p,,o,e,w,v,
e,f,f,g,f,a,a,w,,g,e,e,f,s,w,,p,w,o,,k,a,g
e,k,y,e,t,n,f,c,n,b,t,c,s,,w,n,p,w,o,f,,,p
e,x,y,g,t,n,f,w,,,e,,s,,w,o,p,w,o,,,c,d
p,f,,,t,n,f,c,n,p,t,,f,,n,w,p,n,o,e,k,v,d
e,x,,b,f,c,f,c,n,p,t,b,s,s,w,g,p,n,n,e,h,y,d
e,x,g,e,f,f,f,,b,w,,c,s,s,g,g,p,w,o,n,n,,w
e,s,g,n,t,,a,c,b,b,e,b,s,s,g,w,p,o,o,,h,,w
e,f,y,,t,n,a,c,b,w,,b,s,,w,g,p,w,,p,,,d
e,b,y,n,f,n,a,w,b,,e,b,s,,,w,p,o,,p,h,,g
p,f,y,e,t,c,f,c,n,g,,c,,,p,w,p,o,,p,h,y,g
e,f,,g,f,n,f,c,b,w,t,?,f,s,b,w,,y,n,e,n,s,
e,c,g,w,f,n,f,c,,b,,,s,s,n,g,,w,,l,y,y,g
e,s,y,r,f,n,f,w,n,p,,?,s,f,w,b,p,w,o,,o,s,d
e,b,y,,t,y,f,w,,w,e,?,,s,,w,p,y,o,p,r,s,d
e,c,g,g,t,n,f,c,b,n,t,,s,s,w,w,p,,o,p,w,c,d
e,x,f,y,t,a,f,c,n,k,t,c,s,s,w,,p,w,o,p,u,,u
p,x,y,g,t,f,f,w,n,,t,r,k,s,w,w,p,w,t,p,k,v,m
e,x,y,u,f,c,f,w,b,b,e,?,s,,e,,p,w,t,p,k,y,g
e,f,f,w,t,,a,w,b,b,t,b,,y,w,y,p,w,o,p,w,v,d
p,x,f,g,t,,f,c,n,,,?,f,f,w,n,,w,t,l,k,y,p
p,f,s,e,,c,a,c,n,p,t,b,k,s,w,p,p,o,o,,,,d
p,k,,n,f,f,f,c,n,e,t,b,y,s,n,g,p,w,o,e,k,v,g
p,x,s,g,f,c,f,,n,,e,,k,f,w,e,,w,o,e,w,v,m
p,x,y,w,f,p,,c,b,w,t,e,s,k,b,p,p,w,o,p,w,s,d
p,x,s,g,,p,,,n,u,e,b,s,s,w,c,p,w,n,p,n,v,d
p,,y,g,t,f,a,c,n,w,,?,f,k,g,,p,w,,p,h,,p
e,b,s,y,t,,f,c,n,p,e,r,s,,p,y,p,w,t,l,h,y,w
e,f,f,e,f,n,f,c,,n,t,e,s,f,n,g,p,y,t,p,h,v,d
e,f,y,,,f,f,c,b,n,t,b,s,s,w,w,p,w,t,f,o,y,m
p,b,,w,f,f,f,c,n,p,e,b,k,,e,p,p,w,o,f,n,v,g
p,b,y,w,f,p,f,,,n,t,,f,s,e,c,p,w,o,p,r,y,g
p,b,f,g,f,y,f,c,b,u,e,?,s,,p,,p,o,o,e,k,n,d
p,x,s,,f,,f,c,n,b,t,?,y,,o,,p,,t,e,o,v,l
p,f,y,n,f,n,f,c,b,e,t,?,s,k,p,p,p,w,o,p,y,y,l
p,x,y,g,t,,f,c,b,g,,b,f,k,w,y,p,w,o,l,h,y,p
p,f,s,n,f,s,f,,n,y,t,c,s,k,w,p,p,w,o,p,,y,
e,f,y,w,t,n,f,,b,u,e,e,k,k,p,,p,w,o,p,w,v,
p,x,s,e,f,c,a,c,n,,t,e,s,,p,p,p,w,o,n,w,v,
p,f,y,e,f,f,a,c,n,b,t,?,k,,w,y,,,o,l,w,v,p
e,f,g,n,f,n,f,w,n,b,t,?,k,s,w,c,p,o,o,p,w,n,u
e,x,s,c,f,n,a,,b,p,,b,s,k,g,,p,w,o,l,w,,u
e,,s,w,t,l,f,w,b,n,e,,s,f,,p,p,w,o,p,h,v,d
e,,f,n,t,s,f,c,n,e,t,,s,,p,p,p,,,p,w,s,u
e,,y,n,t,n,f,w,b,o,,b,s,s,,p,p,,o,,h,v,g
e,x,s,w,,n,f,w,b,p,e,?,s,s,w,p,p,w,t,p,,n,m
e,x,f,n,t,y,,c,b,h,e,,s,s,b,n,p,w,o,p,w,y,g
p,,f,,,l,a,c,b,h,e,,k,s,,o,p,o,o,p,w,v,d
e,x,y,n,f,n,f,c,b,u,t,?,k,s,w,w,p,,,,w,v,g
e,s,,,,n,f,c,b,e,t,e,s,s,g,w,p,w,o,n,w,a,d
e,k,y,g,t,a,a,w,b,o,t,?,s,y,y,,p,o,t,n,y,,g
p,f,f,g,f,f,,c,b,k,t,b,f,s,w,w,p,w,,p,,s,g
e,,,n,f,n,f,c,b,u,e,b,y,k,b,w,p,,,p,,c,g
e,f,f,n,f,,f,c,n,,t,b,s,f,p,w,p,w,t,e,,c,g
e,b,y,,,n,f,c,b,o,,c,s,s,y,,p,w,t,l,k,v,d
e,f,,r,f,n,a,c,b,p,,?,s,f,p,g,p,w,t,l,w,s,m
p,,y,n,f,s,f,w,b,y,t,r,,,,p,p,w,o,l,w,y,m
e,x,y,n,,n,f,,n,h,t,c,f,f,b,w,,w,o,n,w,n,d
p,,,g,t,p,f,w,n,u,e,?,,s,,b,p,w,o,l,o,s,p
e,s,y,e,f,n,a,w,n,b,e,?,s,s,w,w,p,w,o,p,k,y,m
e,f,f,,f,n,f,w,n,h,,?,s,s,,w,p,,o,,w,y,d
e,f,y,,,s,,c,b,b,,b,s,s,g,w,p,w,n,p,w,v,g
e,x,f,c,,n,,c,b,w,,b,s,s,w,g,p,,,n,h,s,p
p,k,y,u,f,a,,,,,t,b,f,s,w,p,p,w,n,f,n,a,g
e,f,y,w,f,n,,w,n,,t,?,f,f,w,b,p,w,o,e,,n,
p,b,g,y,f,c,f,c,b,n,t,c,s,f,w,n,p,w,t,p,,v,d
e,x,y,y,f,s,f,w,,k,e,b,k,s,o,w,p,w,o,n,b,v,
e,x,y,e,t,n,f,c,n,w,t,,k,,w,p,p,o,t,n,,,d
p,x,s,r,t,,f,,n,y,e,b,s,y,w,w,p,w,o,l,h,y,
e,x,y,w,f,n,f,w,b,p,t,,s,s,w,p,p,n,o,e,k,y,d
e,b,y,n,f,n,f,w,n,b,,e,f,f,c,w,p,w,o,e,k,v,g
p,f,g,b,f,,f,c,b,b,e,,k,y,w,w,,y,o,p,,n,d
e,x,y,p,,c,f,c,n,g,e,r,k,y,w,b,p,,o,p,o,v,g
p,f,f,g,f,f,,c,,g,e,r,k,f,p,c,p,w,o,l,h,v,
e,f,g,p,t,p,a,w,b,b,t,e,s,f,p,p,,w,o,p,u,,d
p,f,s,r,f,f,f,,n,k,t,?,k,s,b,w,p,w,o,p,h,a,m
e,s,f,g,f,n,f,w,b,p,,e,s,k,,w,p,w,t,p,b,n,l
p,x,s,y,f,f,f,c,n,,t,e,s,s,g,g,p,w,o,e,w,v,
e,x,y,y,t,,f,w,n,u,e,e,f,f,w,,p,w,o,,w,v,g
p,k,,,t,,,c,b,r,e,b,,k,,n,p,w,o,,w,a,u
