Language,Family,Region,Speakers,Writing System,ISO Code
Vietnamese,Indo-European,India,50000000,Perso-Arabic,or
Telugu,Indo-European,Ethiopia,73000000,Latin,uz
Pashto,Indo-European,"Middle East, North Africa",50000000,Malayalam,ja
Hindi,Indo-European,"India, Pakistan",34000000,Latin,my
Igbo,Dravidian,Italy,23000000,Latin,zh
Igbo,Niger-Congo,Worldwide,35000000,Chinese,mr
Yoruba,Austronesian,Ethiopia,27000000,Simplified Chinese,ru
Bengali,Sino-Tibetan,"India, Pakistan",24000000,Devanagari,yue
Gujarati,Indo-European,China,125000000,Ethiopic,uz
Tagalog,Indo-European,Ukraine,23000000,Devanagari,uz
Yue (Cantonese),Niger-Congo,China,341000000,Latin,zh
Awadhi,Sino-Tibetan,Korea,341000000,Devanagari,fa
Romanian,Indo-European,Philippines,25000000,Cyrillic,ar
Xiang (Hunanese),Indo-European,India,76000000,Latin,ro
Maithili,Indo-European,"Pakistan, India",76000000,Latin,fa
Portuguese,Indo-European,Vietnam,57000000,Latin,ro
Arabic,Sino-Tibetan,Azerbaijan,82000000,Latin,pa
Vietnamese,Sino-Tibetan,"Germany, Austria",75000000,Arabic,bn
French,Indo-European,Uzbekistan,230000000,Latin,bn
Bengali,Indo-European,China,50000000,Latin,cjy
Hindi,Indo-European,"Bangladesh, India",76900000,Latin,uk
Awadhi,Indo-European,Myanmar,83000000,Latin,hsn
French,Turkic,Indonesia,75000000,Latin,ha
French,Indo-European,Ukraine,154000000,Latin,pl
Maithili,Indo-European,China (Hong Kong),67000000,Traditional Chinese,fa
Bengali,Turkic,Uzbekistan,230000000,Latin,ro
Turkish,Sino-Tibetan,"Pakistan, India",75000000,Traditional Chinese,nan
Xiang (Hunanese),Turkic,"Portugal, Brazil",24000000,Cyrillic,vi
Malayalam,Austronesian,China,28000000,Cyrillic,my
Xiang (Hunanese),Sino-Tibetan,Italy,32000000,Cyrillic,hsn
Mandarin,Indo-European,India,60000000,Latin,bho
French,Indo-Iranian,Nigeria,50000000,Cyrillic,ro
Maithili,Indo-European,Azerbaijan,32000000,Ethiopic,hak
French,Austronesian,China,47000000,Ethiopic,zh
Telugu,Sino-Tibetan,India,27000000,Latin,kn
Amharic,Indo-European,China,26000000,Latin,am
Punjabi,Turkic,India,274000000,Latin,ps
Tagalog,Sino-Tibetan,Iran,341000000,Latin,awa
Telugu,Niger-Congo,Korea,20000000,Burmese,ur
Southern Min,Indo-European,India,83000000,Traditional Chinese,uz
Xiang (Hunanese),Indo-European,Italy,57000000,Hangul,pl
Kannada,Indo-European,Nigeria,918000000,Latin,pt
Punjabi,Indo-Iranian,India,23000000,Latin,ha
Spanish,Dravidian,Worldwide,76900000,Tamil,bn
English,Indo-European,"Germany, Austria",28000000,Latin,hak
Xiang (Hunanese),Indo-European,Worldwide,460000000,Kannada,pa
Punjabi,Indo-European,Indonesia,83000000,Perso-Arabic,de
