Emoji,Context,Platform,User Age,User Gender
🤣,cool,Twitter,44,Male
😅,cool,Facebook,57,Male
😜,confusion,TikTok,59,Male
🤗,happy,Twitter,26,Female
💔,angry,WhatsApp,31,Female
🤗,angry,Snapchat,38,Female
🤣,confusion,Twitter,17,Male
🤪,cool,Instagram,18,Male
😢,celebration,TikTok,43,Female
😜,cool,Twitter,21,Female
🙏,happy,WhatsApp,51,Male
🤩,support,TikTok,15,Female
😊,support,Instagram,46,Female
🎉,funny,Facebook,47,Female
🙏,love,Instagram,28,Female
😇,celebration,Instagram,47,Female
🤣,sad,TikTok,45,Female
🙏,sad,Facebook,16,Male
🥰,angry,Instagram,55,Male
😊,love,Facebook,16,Female
🤩,happy,Instagram,34,Female
🎉,angry,Facebook,49,Male
🙌,cool,Twitter,19,Female
😇,love,WhatsApp,34,Female
❤️,sad,WhatsApp,27,Male
😜,funny,Instagram,27,Female
❤️,surprise,WhatsApp,30,Female
😢,cool,WhatsApp,43,Male
🎉,happy,Instagram,32,Male
😭,love,Facebook,57,Male
😳,support,Snapchat,58,Female
👏,cool,Twitter,47,Female
😢,happy,WhatsApp,45,Female
🤔,cool,Instagram,45,Female
🙄,love,Facebook,42,Female
❤️,surprise,TikTok,36,Male
🎉,confusion,Instagram,19,Male
🤪,angry,Snapchat,55,Male
😎,confusion,WhatsApp,44,Male
😉,angry,TikTok,61,Female
😢,happy,Snapchat,35,Female
😉,angry,Facebook,35,Female
😂,surprise,Twitter,56,Male
😍,sad,WhatsApp,45,Male
😏,angry,Facebook,14,Male
🙌,surprise,Instagram,33,Female
😡,funny,Instagram,33,Male
🤗,angry,Twitter,26,Male
😢,angry,Twitter,19,Female
😜,cool,WhatsApp,50,Male
👏,surprise,Facebook,61,Male
🙄,cool,Facebook,47,Female
😘,celebration,TikTok,50,Female
😢,support,Twitter,51,Female
😂,happy,TikTok,33,Female
😎,cool,Snapchat,58,Male
😉,cool,TikTok,47,Male
😘,cool,Twitter,64,Female
😜,funny,Twitter,23,Male
😊,funny,TikTok,34,Male
😭,love,TikTok,43,Male
🤣,funny,Instagram,55,Female
🤔,celebration,Twitter,14,Male
😎,cool,Snapchat,19,Female
🙏,sad,Instagram,41,Male
🙄,funny,Instagram,25,Male
😔,angry,Snapchat,61,Male
🤔,happy,Snapchat,63,Male
😔,love,Instagram,24,Female
😜,confusion,Instagram,55,Female
😏,cool,Instagram,25,Male
🎉,confusion,Snapchat,60,Female
😭,angry,Facebook,61,Male
🤩,love,WhatsApp,18,Male
🎉,support,WhatsApp,59,Male
😢,love,TikTok,33,Female
🤪,happy,TikTok,28,Female
🤣,sad,Twitter,29,Male
😅,funny,Snapchat,64,Male
🙄,angry,Instagram,57,Female
😅,celebration,Facebook,13,Male
❤️,sad,Twitter,38,Male
🙌,cool,TikTok,52,Male
🙄,surprise,Twitter,49,Male
🤔,cool,Instagram,53,Male
😅,confusion,Snapchat,50,Male
😜,cool,WhatsApp,60,Male
😡,happy,Facebook,42,Female
🤩,celebration,Instagram,54,Male
🙌,sad,Facebook,24,Female
🙄,surprise,Snapchat,54,Male
🤔,support,Snapchat,39,Female
😍,sad,Twitter,19,Female
💕,celebration,Instagram,35,Male
😘,celebration,Twitter,53,Female
😍,angry,Twitter,46,Male
🙄,sad,Facebook,57,Female
😎,happy,TikTok,42,Male
😘,love,Instagram,31,Female
🤗,confusion,Instagram,39,Female
😡,support,Snapchat,24,Female
😳,funny,WhatsApp,62,Female
😊,funny,Instagram,34,Male
🤩,support,Twitter,21,Female
😊,sad,Instagram,55,Male
😘,confusion,WhatsApp,58,Male
😅,cool,Facebook,54,Male
😎,sad,TikTok,61,Female
🥰,sad,Snapchat,45,Male
❤️,surprise,Snapchat,39,Male
🙏,confusion,TikTok,28,Male
😭,angry,Instagram,63,Female
😂,cool,Facebook,29,Female
🤩,support,Instagram,13,Male
❤️,support,Snapchat,22,Male
🤩,surprise,Facebook,53,Female
🤣,happy,Instagram,20,Male
🤗,celebration,Snapchat,42,Female
😜,angry,Instagram,48,Male
😇,funny,TikTok,13,Male
😜,celebration,TikTok,61,Female
🙄,confusion,Twitter,45,Female
😡,support,WhatsApp,45,Male
🥰,support,Twitter,27,Male
😜,cool,Facebook,63,Male
🤗,celebration,Twitter,20,Female
😇,happy,Snapchat,47,Female
😭,sad,TikTok,37,Female
😅,surprise,Snapchat,47,Female
💔,confusion,TikTok,29,Female
😡,sad,TikTok,23,Male
😇,celebration,TikTok,63,Female
😜,love,TikTok,22,Female
🤣,love,TikTok,24,Male
😎,funny,Instagram,57,Male
😏,angry,Twitter,33,Female
😔,confusion,Facebook,32,Male
😉,sad,WhatsApp,58,Male
😂,sad,Twitter,33,Male
😅,angry,Facebook,45,Male
🤣,sad,Twitter,63,Female
💕,confusion,Twitter,35,Male
💔,celebration,Instagram,36,Male
🤣,cool,TikTok,62,Female
🤗,love,Snapchat,42,Male
💕,confusion,TikTok,36,Female
😏,sad,WhatsApp,61,Male
😍,funny,WhatsApp,19,Male
😜,support,Twitter,63,Male
😜,angry,Instagram,18,Male
💕,surprise,Twitter,27,Female
🙄,support,Twitter,24,Female
👏,celebration,Facebook,39,Female
😉,support,Instagram,25,Male
😂,funny,Facebook,51,Male
😊,surprise,Twitter,48,Male
😔,surprise,WhatsApp,58,Female
😘,love,Twitter,50,Male
😍,funny,WhatsApp,46,Male
❤️,happy,Facebook,40,Female
😎,support,Twitter,56,Male
👍,support,Twitter,37,Female
😉,surprise,Facebook,56,Male
❤️,angry,WhatsApp,49,Male
🙌,sad,TikTok,53,Male
😎,sad,Facebook,58,Male
🙏,celebration,Twitter,45,Male
💕,love,Instagram,15,Female
❤️,funny,Twitter,15,Male
😅,love,Facebook,25,Female
💕,happy,Twitter,36,Male
🤪,celebration,WhatsApp,34,Female
💕,angry,TikTok,61,Male
💕,confusion,WhatsApp,20,Female
💕,happy,Twitter,47,Male
👏,confusion,TikTok,44,Male
😜,support,Instagram,16,Female
😳,angry,Facebook,19,Female
😜,love,Facebook,41,Female
😜,funny,Instagram,53,Male
😏,surprise,Facebook,31,Female
😍,cool,Snapchat,61,Male
😎,happy,TikTok,25,Male
🤪,cool,TikTok,14,Male
😘,celebration,TikTok,26,Male
😏,sad,Facebook,21,Male
🥰,happy,Instagram,43,Female
🙏,happy,Snapchat,28,Female
🙄,support,Instagram,62,Female
😳,cool,Facebook,50,Female
👏,love,Facebook,41,Female
❤️,angry,Snapchat,50,Male
👏,love,WhatsApp,45,Male
👍,sad,Instagram,40,Male
😎,surprise,Twitter,42,Female
👍,sad,TikTok,38,Female
😎,funny,Instagram,49,Male
😳,surprise,Snapchat,24,Male
😇,sad,Instagram,31,Female
😜,funny,WhatsApp,25,Female
🤗,cool,Instagram,34,Male
😔,sad,Instagram,19,Male
😡,surprise,Instagram,22,Female
😎,angry,Twitter,50,Male
😘,love,TikTok,50,Female
😳,support,WhatsApp,56,Male
💕,angry,Snapchat,13,Male
😊,sad,TikTok,54,Male
🤔,support,WhatsApp,18,Female
🥰,support,Instagram,39,Male
🤩,angry,Snapchat,49,Female
🙏,happy,WhatsApp,26,Male
👍,surprise,WhatsApp,27,Female
🙏,sad,Twitter,64,Male
🙏,love,Twitter,52,Female
💔,funny,WhatsApp,31,Male
🎉,support,TikTok,53,Female
😂,love,Snapchat,18,Male
🤔,celebration,Instagram,35,Female
🤔,angry,Instagram,21,Female
😂,support,Twitter,48,Male
😅,sad,Instagram,27,Male
😎,love,Snapchat,56,Male
🤪,surprise,Facebook,64,Male
😂,surprise,Twitter,22,Male
🤪,cool,Instagram,58,Male
🤩,funny,WhatsApp,54,Male
😭,funny,Facebook,29,Male
😉,happy,Snapchat,55,Female
😏,support,Snapchat,31,Female
🙏,love,TikTok,59,Female
😊,confusion,Twitter,49,Female
😏,confusion,Facebook,42,Male
😊,celebration,TikTok,63,Male
🙏,love,TikTok,14,Female
😡,surprise,TikTok,52,Female
😎,sad,Instagram,34,Male
🤩,confusion,Twitter,62,Male
🎉,sad,Facebook,48,Male
😏,happy,Snapchat,36,Male
😎,angry,WhatsApp,17,Female
💕,celebration,Snapchat,14,Female
😭,angry,WhatsApp,34,Female
🙄,support,Twitter,64,Male
🤔,cool,TikTok,44,Female
🤪,funny,Facebook,48,Male
😂,confusion,Twitter,19,Male
🙌,support,Twitter,15,Male
👍,surprise,Instagram,28,Female
😅,confusion,Snapchat,52,Male
😡,support,Snapchat,33,Female
🤣,celebration,WhatsApp,45,Male
🤪,angry,TikTok,37,Female
🤣,surprise,Facebook,47,Female
🤔,sad,Twitter,19,Male
🤔,support,WhatsApp,53,Male
😘,sad,Instagram,22,Male
🙄,surprise,Instagram,56,Female
🙄,cool,Instagram,26,Female
🙏,angry,Snapchat,22,Male
😇,cool,Instagram,33,Male
😇,happy,TikTok,26,Female
🤔,support,Facebook,26,Female
🎉,support,Twitter,25,Male
😳,celebration,Instagram,34,Female
🤗,surprise,Twitter,50,Female
😘,cool,WhatsApp,25,Female
😎,happy,Snapchat,27,Male
👍,happy,TikTok,22,Female
💕,funny,Instagram,52,Female
😢,cool,Facebook,40,Female
❤️,love,Instagram,50,Female
😊,confusion,TikTok,43,Female
🤔,surprise,Instagram,32,Male
😊,celebration,WhatsApp,49,Female
😭,surprise,Facebook,34,Female
🙌,celebration,Instagram,19,Female
💔,support,Facebook,48,Male
😢,happy,TikTok,15,Female
😭,surprise,Snapchat,51,Female
🤪,surprise,Facebook,32,Female
😉,angry,WhatsApp,17,Male
😍,sad,Facebook,29,Male
😉,sad,Facebook,30,Male
🤔,celebration,TikTok,51,Female
💔,celebration,Snapchat,26,Male
👍,support,TikTok,56,Female
👍,love,TikTok,59,Male
😜,happy,Snapchat,50,Female
👏,funny,Twitter,38,Male
🙌,happy,Facebook,26,Male
😢,celebration,Instagram,34,Male
😭,happy,Snapchat,50,Female
🤩,funny,Snapchat,55,Female
😍,sad,WhatsApp,54,Male
😉,cool,TikTok,53,Male
🎉,sad,Facebook,17,Male
🤣,confusion,Facebook,39,Female
😭,love,Facebook,35,Male
😔,funny,WhatsApp,27,Male
💔,support,Instagram,62,Female
🤔,angry,Instagram,27,Male
🙏,support,Instagram,55,Female
😊,angry,Twitter,32,Female
😳,love,WhatsApp,38,Male
😔,sad,WhatsApp,43,Male
🙏,confusion,TikTok,61,Female
😏,support,Twitter,49,Female
👏,happy,TikTok,24,Male
🥰,cool,Facebook,43,Female
😂,cool,TikTok,35,Female
🎉,happy,Instagram,14,Female
🙏,confusion,Snapchat,56,Male
😡,sad,Instagram,39,Male
😊,happy,TikTok,29,Male
❤️,love,WhatsApp,29,Female
🤪,love,Twitter,45,Female
🤪,celebration,TikTok,29,Male
🙏,support,Twitter,18,Female
🤔,love,WhatsApp,23,Male
💕,surprise,TikTok,24,Male
😇,confusion,TikTok,34,Female
🥰,confusion,WhatsApp,49,Male
😉,support,Twitter,48,Female
😏,happy,WhatsApp,61,Male
😊,happy,Instagram,35,Female
🙄,support,Twitter,45,Female
😅,cool,TikTok,45,Male
😅,celebration,Twitter,30,Female
💔,support,Snapchat,26,Female
🤣,confusion,Instagram,32,Male
😉,celebration,TikTok,34,Male
😡,happy,Instagram,55,Female
🙏,confusion,Facebook,17,Male
🤩,cool,Snapchat,37,Female
🤪,celebration,WhatsApp,36,Male
😘,cool,Twitter,14,Male
🥰,cool,Snapchat,20,Male
😡,funny,Facebook,55,Female
🎉,funny,Facebook,23,Male
😏,angry,Instagram,14,Male
🥰,angry,Twitter,35,Female
💔,confusion,Facebook,63,Female
😅,celebration,WhatsApp,20,Male
🤪,happy,Instagram,22,Female
❤️,surprise,Snapchat,41,Male
😢,support,TikTok,57,Female
🙏,love,Twitter,54,Female
😇,surprise,Instagram,59,Male
🤔,confusion,Snapchat,32,Male
🤣,happy,TikTok,52,Male
😭,funny,Facebook,18,Female
🤪,confusion,Facebook,39,Female
😡,support,TikTok,21,Female
❤️,surprise,Instagram,57,Male
🙌,sad,Facebook,34,Male
🥰,sad,Instagram,30,Female
😂,support,WhatsApp,18,Male
🙌,love,Facebook,27,Male
🙏,love,Twitter,45,Male
👍,celebration,Facebook,50,Female
🤩,love,Twitter,40,Female
🤗,love,TikTok,43,Female
🤗,sad,Instagram,19,Female
💕,support,Twitter,25,Male
😇,celebration,Facebook,24,Male
🙌,happy,Snapchat,40,Female
👍,love,Instagram,30,Male
🙏,sad,Twitter,31,Male
😘,happy,Facebook,28,Female
🎉,love,Facebook,17,Male
🤔,confusion,WhatsApp,29,Female
🤔,confusion,WhatsApp,52,Male
👏,confusion,Snapchat,21,Female
😢,funny,TikTok,24,Male
🙏,confusion,Instagram,54,Female
😉,confusion,WhatsApp,55,Female
😏,funny,Snapchat,25,Female
👍,celebration,Twitter,49,Female
😉,angry,Instagram,35,Male
😔,sad,Instagram,34,Female
👏,cool,TikTok,56,Female
👏,confusion,TikTok,22,Male
❤️,happy,TikTok,25,Male
😭,funny,WhatsApp,30,Female
🙌,angry,Instagram,36,Male
🤩,cool,TikTok,28,Male
🤔,sad,Snapchat,16,Female
😭,confusion,Instagram,44,Female
👍,surprise,Facebook,60,Female
😉,celebration,Snapchat,24,Male
😂,love,TikTok,45,Female
😊,sad,Snapchat,55,Female
😜,funny,Instagram,28,Female
🙌,angry,Instagram,38,Female
😳,love,TikTok,28,Male
😍,sad,WhatsApp,14,Male
🥰,angry,TikTok,42,Female
😅,cool,Facebook,29,Female
🙏,cool,WhatsApp,42,Female
💕,confusion,Instagram,49,Male
💕,confusion,Facebook,42,Male
😊,celebration,Twitter,13,Female
❤️,funny,WhatsApp,52,Female
😳,sad,Instagram,35,Male
💔,celebration,Snapchat,15,Female
😊,cool,TikTok,50,Male
🙏,funny,Snapchat,61,Female
🙏,celebration,Instagram,32,Male
💕,celebration,Twitter,20,Female
🤣,cool,Twitter,27,Female
😇,happy,Facebook,47,Female
🎉,funny,Snapchat,43,Male
👍,surprise,Twitter,16,Male
🙄,confusion,WhatsApp,23,Male
😜,surprise,TikTok,57,Female
😘,funny,Twitter,35,Female
🙌,sad,WhatsApp,60,Female
😊,love,Snapchat,55,Male
🎉,funny,WhatsApp,59,Female
😇,cool,Instagram,36,Male
😍,funny,TikTok,61,Female
😏,support,WhatsApp,22,Female
🤣,happy,TikTok,46,Male
😔,love,Instagram,62,Male
👏,sad,Twitter,39,Male
😔,angry,Instagram,21,Female
😊,celebration,Snapchat,42,Female
🎉,love,TikTok,41,Male
🤩,support,Snapchat,46,Female
💕,confusion,WhatsApp,62,Female
👍,love,Snapchat,53,Female
😍,sad,Facebook,57,Male
😳,cool,WhatsApp,31,Female
🙄,happy,Facebook,27,Male
😅,support,TikTok,15,Male
🤩,funny,Snapchat,53,Female
🤗,angry,TikTok,23,Female
🎉,angry,Twitter,38,Female
🙏,funny,Twitter,19,Male
🤗,sad,TikTok,41,Female
🙄,sad,TikTok,41,Male
😳,support,Snapchat,29,Male
🙌,surprise,Twitter,52,Female
😊,support,Twitter,34,Male
😊,surprise,TikTok,35,Male
👍,love,Snapchat,31,Female
😍,support,Snapchat,13,Female
👏,cool,Facebook,21,Male
😍,happy,Instagram,62,Female
❤️,celebration,Facebook,15,Male
😢,funny,WhatsApp,22,Female
😏,happy,TikTok,48,Male
🤔,celebration,WhatsApp,26,Male
👏,confusion,Twitter,55,Male
❤️,confusion,TikTok,41,Female
🤗,confusion,WhatsApp,57,Female
❤️,sad,TikTok,34,Female
😔,funny,Twitter,13,Female
💕,celebration,TikTok,32,Male
🤗,happy,Snapchat,21,Male
😇,sad,TikTok,47,Male
😔,sad,TikTok,37,Male
💕,confusion,Instagram,64,Female
😏,funny,Snapchat,23,Male
🤔,support,Snapchat,58,Male
🙌,support,Snapchat,25,Male
🤩,love,Twitter,18,Male
🤣,support,Twitter,49,Female
🤩,celebration,Instagram,54,Female
😢,support,Snapchat,21,Male
🤩,happy,Instagram,15,Male
🤪,funny,TikTok,63,Male
😍,love,Twitter,37,Female
🙏,cool,Snapchat,54,Male
🤗,funny,Instagram,55,Female
😭,angry,TikTok,39,Female
👍,cool,WhatsApp,31,Male
😢,happy,Snapchat,50,Female
🤣,surprise,WhatsApp,55,Male
🙄,cool,WhatsApp,28,Female
😭,funny,Facebook,30,Male
😉,support,Snapchat,53,Female
😭,angry,TikTok,28,Female
😏,funny,Instagram,62,Male
💕,celebration,Instagram,61,Female
🤗,surprise,Instagram,13,Female
😏,love,WhatsApp,54,Female
🤪,happy,Snapchat,45,Female
🙌,funny,Facebook,59,Female
🎉,cool,Twitter,35,Male
👏,confusion,Facebook,48,Female
🤣,celebration,TikTok,27,Female
😔,support,TikTok,45,Female
🤩,support,Instagram,45,Female
🙌,sad,Facebook,26,Female
😇,happy,TikTok,34,Male
💔,angry,WhatsApp,35,Male
😡,love,Instagram,23,Female
😇,cool,TikTok,34,Female
😊,support,Facebook,32,Male
😳,happy,TikTok,14,Female
😏,confusion,TikTok,54,Male
😉,celebration,Facebook,48,Female
🤗,love,Twitter,29,Male
🤪,support,TikTok,21,Female
💕,confusion,TikTok,16,Female
👏,support,Instagram,34,Female
😢,funny,Twitter,28,Male
😜,sad,Instagram,37,Female
🤗,confusion,Twitter,42,Female
😎,surprise,Facebook,36,Male
🤣,confusion,WhatsApp,13,Female
🙏,funny,Twitter,57,Female
😭,support,Instagram,13,Female
🤪,cool,Snapchat,46,Female
😢,happy,Snapchat,20,Male
👏,confusion,Twitter,40,Female
😘,cool,Facebook,35,Female
👏,love,TikTok,39,Male
🤔,sad,TikTok,34,Female
😡,angry,Twitter,49,Male
💔,angry,WhatsApp,64,Male
😭,love,Instagram,38,Female
💔,love,Snapchat,40,Female
❤️,celebration,Instagram,22,Female
😜,confusion,Instagram,61,Male
😳,support,Twitter,42,Male
😡,cool,Facebook,39,Male
😂,love,Instagram,22,Female
😳,confusion,Facebook,61,Female
😇,funny,WhatsApp,42,Male
😘,funny,TikTok,56,Male
🥰,funny,WhatsApp,23,Female
😜,happy,TikTok,51,Male
👏,cool,TikTok,54,Female
😡,love,Facebook,35,Female
😳,funny,Twitter,29,Male
😏,cool,Twitter,33,Male
🎉,love,Twitter,50,Male
🙌,support,Snapchat,57,Male
👍,funny,WhatsApp,40,Male
🤣,cool,WhatsApp,23,Male
😅,cool,TikTok,58,Male
😇,funny,Instagram,52,Female
😳,cool,Facebook,58,Male
😡,confusion,Snapchat,57,Male
🤩,sad,TikTok,54,Male
😳,sad,Snapchat,42,Female
😢,funny,Instagram,18,Female
👍,surprise,Facebook,15,Female
❤️,angry,Twitter,61,Male
😎,happy,Instagram,31,Male
👏,love,Twitter,49,Female
🤗,support,Twitter,51,Female
😭,confusion,TikTok,44,Male
👏,happy,TikTok,61,Male
🤩,sad,Twitter,21,Male
😔,angry,Twitter,35,Female
😍,confusion,TikTok,51,Female
❤️,confusion,WhatsApp,32,Female
🤔,surprise,TikTok,36,Female
❤️,happy,TikTok,18,Male
🤔,funny,Instagram,41,Male
❤️,love,TikTok,46,Female
❤️,support,Snapchat,14,Female
😎,cool,Facebook,16,Female
💕,surprise,WhatsApp,62,Male
🥰,confusion,Instagram,33,Male
🥰,surprise,Twitter,27,Male
😔,love,WhatsApp,19,Male
😅,sad,Facebook,56,Female
😏,happy,Twitter,56,Female
😜,surprise,Instagram,40,Male
😂,happy,WhatsApp,31,Female
🙌,cool,Twitter,42,Male
😊,surprise,WhatsApp,62,Female
😉,support,Twitter,14,Male
😂,sad,Twitter,24,Female
🙏,celebration,Twitter,42,Female
👍,funny,WhatsApp,58,Male
😏,angry,Snapchat,24,Female
👍,celebration,Facebook,41,Male
😏,confusion,TikTok,40,Female
🤗,support,TikTok,35,Male
😎,celebration,TikTok,39,Female
😔,love,WhatsApp,48,Male
😅,support,Instagram,59,Female
🙄,celebration,TikTok,35,Male
😘,funny,Facebook,37,Male
🤔,cool,Facebook,37,Male
💕,cool,Twitter,26,Female
😳,sad,TikTok,51,Male
🤣,surprise,Instagram,20,Male
🤔,celebration,WhatsApp,26,Male
😂,happy,Twitter,27,Female
❤️,confusion,TikTok,40,Female
😜,celebration,Instagram,20,Male
😂,funny,Instagram,34,Female
👏,angry,Facebook,20,Female
💔,confusion,Instagram,37,Male
😜,support,Snapchat,60,Male
😜,happy,Instagram,34,Male
🤗,support,Snapchat,38,Female
😉,love,Twitter,64,Female
👍,angry,WhatsApp,50,Male
👍,surprise,WhatsApp,61,Male
😡,sad,Snapchat,22,Male
😭,surprise,Facebook,20,Male
💔,funny,WhatsApp,14,Male
😇,celebration,Instagram,56,Female
🤗,happy,WhatsApp,16,Male
🤩,cool,Twitter,52,Male
😇,confusion,Instagram,44,Female
😎,celebration,Twitter,33,Female
😔,funny,TikTok,34,Female
😜,support,WhatsApp,29,Male
😢,funny,Facebook,25,Male
😢,love,Instagram,34,Female
🙄,sad,TikTok,19,Female
😭,angry,Twitter,22,Male
🙌,support,Snapchat,51,Male
😎,funny,Twitter,23,Male
👏,surprise,Snapchat,61,Male
😳,angry,Snapchat,43,Female
💔,sad,Facebook,37,Male
😎,sad,Snapchat,54,Male
👍,sad,Instagram,63,Male
🤪,happy,WhatsApp,21,Male
🙌,love,Twitter,60,Female
👏,sad,TikTok,52,Male
😔,cool,Instagram,14,Male
🤪,love,Snapchat,24,Female
😢,confusion,Instagram,64,Male
😜,cool,Instagram,40,Male
😊,cool,Facebook,53,Female
😡,angry,Snapchat,50,Male
❤️,support,Instagram,46,Male
🎉,sad,TikTok,45,Female
🎉,support,Twitter,26,Female
🙌,confusion,Facebook,17,Male
🤗,celebration,Instagram,48,Female
🤔,cool,Twitter,62,Male
😘,confusion,Twitter,42,Male
🤩,funny,Snapchat,14,Female
🤔,surprise,Instagram,23,Male
😍,support,Snapchat,19,Male
👍,angry,Twitter,39,Female
🎉,cool,Instagram,54,Male
🙄,angry,TikTok,43,Male
💕,celebration,Snapchat,25,Female
😂,celebration,Snapchat,18,Male
💕,support,WhatsApp,36,Male
😎,surprise,TikTok,45,Male
😉,sad,TikTok,45,Male
👍,cool,Facebook,18,Female
😅,confusion,Twitter,47,Male
😍,love,Twitter,37,Female
🥰,love,Snapchat,38,Male
💕,cool,Twitter,20,Male
😉,love,Twitter,30,Female
😳,confusion,Instagram,37,Male
😍,angry,WhatsApp,27,Female
😳,cool,Instagram,30,Female
😂,confusion,Instagram,18,Female
😅,sad,Twitter,56,Male
😎,love,Twitter,46,Female
🤣,support,Twitter,57,Male
😘,angry,Instagram,50,Male
🤗,confusion,TikTok,33,Female
😭,confusion,TikTok,50,Female
💔,celebration,Instagram,14,Female
💔,funny,WhatsApp,25,Female
🤔,surprise,Snapchat,50,Male
😅,support,TikTok,56,Male
😊,support,TikTok,29,Female
🎉,surprise,Instagram,59,Female
🤣,happy,Twitter,55,Female
🙏,love,Instagram,49,Male
🙌,love,Facebook,47,Female
🤪,celebration,Instagram,13,Male
💕,confusion,Instagram,48,Male
💔,happy,Facebook,63,Male
👏,love,WhatsApp,27,Male
😍,confusion,Instagram,38,Male
🤪,love,Facebook,57,Female
😡,angry,TikTok,59,Male
😭,funny,Facebook,18,Female
😏,sad,TikTok,41,Female
🙄,confusion,Facebook,25,Male
😘,support,WhatsApp,61,Female
🙌,celebration,Facebook,51,Female
😂,celebration,Snapchat,20,Male
🤔,angry,Twitter,32,Female
🎉,surprise,Snapchat,54,Female
🥰,celebration,Instagram,34,Female
😏,love,WhatsApp,53,Female
😳,happy,TikTok,38,Female
🤩,happy,TikTok,13,Male
👍,love,WhatsApp,35,Male
🤔,love,WhatsApp,56,Female
🎉,love,Instagram,51,Female
😅,confusion,Facebook,38,Female
🎉,angry,Instagram,57,Female
🤣,cool,Facebook,41,Male
😭,confusion,Facebook,14,Female
😘,happy,Snapchat,15,Male
🤪,celebration,Facebook,23,Male
🤣,surprise,Instagram,58,Female
😭,love,Facebook,58,Male
🤔,love,TikTok,56,Female
😍,surprise,TikTok,26,Male
😊,funny,Instagram,41,Male
🤪,love,WhatsApp,58,Female
🤩,support,Snapchat,14,Male
😊,cool,Facebook,50,Male
💕,support,WhatsApp,49,Female
😂,surprise,WhatsApp,51,Female
🎉,surprise,Instagram,63,Female
🙌,happy,WhatsApp,47,Male
😉,celebration,WhatsApp,53,Male
😳,angry,Facebook,53,Female
🙏,happy,TikTok,47,Male
🙌,love,Twitter,60,Male
💔,confusion,Facebook,39,Female
😏,support,Twitter,56,Male
😢,sad,WhatsApp,38,Female
💔,angry,Twitter,38,Male
😉,celebration,WhatsApp,19,Male
🥰,support,Facebook,28,Female
😇,sad,Instagram,59,Female
🤪,surprise,Twitter,43,Female
😡,cool,Snapchat,20,Female
😍,angry,Instagram,26,Male
🤩,love,Twitter,36,Male
🎉,confusion,TikTok,57,Male
😡,angry,WhatsApp,40,Male
👍,surprise,WhatsApp,23,Male
🤔,sad,WhatsApp,49,Male
🥰,happy,WhatsApp,38,Female
💔,surprise,TikTok,27,Female
🙌,angry,TikTok,46,Female
😎,angry,WhatsApp,54,Male
😭,cool,Facebook,52,Male
😎,funny,Twitter,51,Female
😂,surprise,Instagram,44,Female
🙄,surprise,Twitter,32,Male
👏,cool,Twitter,23,Female
👏,celebration,TikTok,38,Male
🤪,funny,Facebook,51,Female
🥰,funny,Facebook,21,Male
😂,confusion,TikTok,51,Female
🙄,cool,WhatsApp,21,Male
😔,surprise,WhatsApp,41,Male
😡,cool,Twitter,16,Male
😔,happy,Facebook,21,Male
🙏,angry,Instagram,41,Male
👍,support,Twitter,55,Male
🤪,funny,Facebook,54,Female
😭,surprise,Twitter,27,Male
😜,cool,Facebook,30,Female
😊,celebration,Twitter,54,Male
😢,angry,Instagram,30,Female
😎,sad,Facebook,23,Male
🤗,confusion,Snapchat,17,Male
🙌,celebration,WhatsApp,42,Male
🙏,cool,Facebook,45,Male
🤔,sad,Twitter,51,Female
😊,surprise,WhatsApp,48,Female
😘,support,Twitter,26,Female
😊,sad,Facebook,42,Male
🤔,confusion,Twitter,32,Male
😜,love,Facebook,57,Female
🙏,celebration,Facebook,24,Male
😳,happy,WhatsApp,50,Male
😢,support,Facebook,48,Male
🤣,cool,Instagram,16,Male
🤔,love,Snapchat,15,Female
😂,confusion,TikTok,30,Female
🎉,confusion,Instagram,14,Female
🤗,confusion,Facebook,14,Male
😘,celebration,Snapchat,64,Male
😜,surprise,Twitter,24,Female
❤️,support,Twitter,42,Male
🤔,angry,Instagram,15,Female
🎉,sad,TikTok,37,Male
😎,cool,WhatsApp,41,Female
💕,surprise,TikTok,42,Female
😡,confusion,Snapchat,57,Female
😏,confusion,TikTok,17,Male
😊,angry,Snapchat,43,Female
🤣,surprise,WhatsApp,37,Female
💕,surprise,Twitter,52,Female
😊,angry,TikTok,42,Male
😜,support,Facebook,33,Female
😏,happy,TikTok,35,Male
💕,surprise,Twitter,36,Female
😎,confusion,Facebook,24,Male
🤣,sad,Twitter,42,Female
😢,funny,Snapchat,25,Female
🤪,surprise,Snapchat,59,Female
😏,celebration,Facebook,46,Male
😡,surprise,Twitter,16,Male
😇,funny,Facebook,20,Male
🎉,sad,Facebook,56,Male
🤣,love,TikTok,50,Male
🤪,funny,Twitter,25,Male
💔,cool,Facebook,37,Male
🤣,happy,Facebook,62,Male
❤️,angry,Twitter,39,Female
😳,sad,Instagram,28,Female
😏,celebration,Instagram,35,Male
😉,confusion,WhatsApp,48,Male
💔,sad,Instagram,46,Female
😊,angry,TikTok,29,Female
😇,sad,Twitter,57,Male
😳,sad,Facebook,13,Male
😭,surprise,TikTok,17,Female
😅,support,Twitter,19,Male
😅,angry,Snapchat,63,Male
🤪,cool,Twitter,43,Female
🎉,cool,Instagram,32,Female
🤪,love,WhatsApp,29,Male
🤪,love,Facebook,30,Male
🤩,celebration,TikTok,42,Female
😇,funny,Facebook,58,Female
😜,confusion,TikTok,25,Male
